iteration,episodes,mean_ep_ret,mean_ep_shaped,collision_rate,lambda,pg_loss,vf_loss,ent_loss,lambda_delta
1,41,8.751593593634214,-35.12423143296123,0.8536585365853658,0.0376829268292683,0.3180731140309945,453.2283134460449,-0.4846460372209549,0.0376829268292683
2,21,16.108900242208993,-32.07959586141985,0.6190476190476191,0.06363530778164925,0.02675686066504568,249.23668384552002,-0.9927573073655367,0.02595238095238095
3,21,16.87634720747953,-3.609137602267349,0.6666666666666666,0.09196864111498258,0.03273417032323778,115.7179217338562,-1.0603975784033537,0.028333333333333335
4,15,23.891967772628227,32.21250307496664,0.26666666666666666,0.10030197444831591,0.05135559130576439,155.46087837219238,-0.7814095877110958,0.008333333333333331
5,16,24.55476328120377,40.176937900549134,0.5,0.12030197444831592,0.061828844831325114,145.26768958568573,-0.729899438098073,0.020000000000000004
6,15,26.051212212615262,40.13654042684356,0.4666666666666667,0.13863530778164926,0.0018397610983811319,87.59679174423218,-0.8587571829557419,0.01833333333333334
7,22,17.765079730586923,28.858795282078244,0.9090909090909091,0.17908985323619472,0.0025630550226196647,65.81591653823853,-0.8959822300821543,0.040454545454545465
8,22,17.39351373453342,27.402192167133194,0.7727272727272727,0.21272621687255835,0.010101213687448762,67.19117796421051,-0.9373525399714708,0.03363636363636363
9,17,22.059235478859712,35.543564891463106,0.47058823529411764,0.23125562863726423,0.0017148611950688064,87.37250709533691,-0.9694059286266565,0.018529411764705878
10,17,21.17227656691595,34.240702204303645,0.5294117647058824,0.25272621687255836,0.0026235396217089146,92.03661513328552,-0.8703750409185886,0.02147058823529413
11,20,18.862754746137018,30.62379634543455,0.55,0.2752262168725584,-0.0005174759426154196,109.45688343048096,-0.8071139641106129,0.02250000000000002
12,17,21.42269105953939,33.90234395213246,0.5294117647058824,0.2966968051078525,-0.005756184342317283,97.42670130729675,-0.8549063540995121,0.02147058823529413
13,13,27.019958990340736,36.262409171255186,0.15384615384615385,0.29938911280016023,0.00043620425276458263,98.07493615150452,-0.8651785831898451,0.002692307692307716
14,14,26.030811693640626,41.92741847522224,0.2857142857142857,0.3086748270858745,0.0075051370076835155,104.14577293395996,-0.8183604869991541,0.009285714285714286
15,13,27.13033012830806,41.00375612155872,0.15384615384615385,0.31136713477818223,-0.00014842732343822718,118.52564907073975,-0.8269632328301668,0.002692307692307716
16,17,20.888544986278085,36.51706846223032,0.7058823529411765,0.34166125242524104,-0.01267309213289991,113.87542629241943,-0.6439342834055424,0.030294117647058805
17,12,27.84970166096902,36.420920550030445,0.0,0.33666125242524103,0.010815052082762122,120.12641406059265,-0.535805057734251,-0.0050000000000000044
18,13,26.76382862524183,43.20245073182056,0.07692307692307693,0.33550740627139486,0.003773451957385987,106.97971940040588,-0.7404795438051224,-0.001153846153846172
19,15,24.36884462750489,37.87421786722053,0.3333333333333333,0.3471740729380615,0.01906906213844195,122.20264863967896,-0.787176851183176,0.011666666666666659
20,14,24.31325950853763,43.39263697685975,0.21428571428571427,0.35288835865234724,0.06146559753688052,115.15074467658997,-0.7764298282563686,0.005714285714285727
21,13,26.779204758135897,42.707729632584886,0.15384615384615385,0.35558066634465496,0.01649839512538165,109.09726881980896,-0.6173802446573973,0.002692307692307716
22,13,26.86199307160194,45.149949278520495,0.15384615384615385,0.3582729740369627,0.013927192630944774,111.13412857055664,-0.6939666010439396,0.002692307692307716
23,13,27.9744297818444,42.0977270523848,0.23076923076923078,0.3648114355754242,0.019741135009098798,127.94006586074829,-0.5904364325106144,0.0065384615384615485
24,13,27.585222296122478,47.99223796264005,0.15384615384615385,0.36750374326773194,0.03290113131515682,136.8820972442627,-0.4939538398757577,0.002692307692307716
25,14,25.197365143258526,44.334165194077066,0.14285714285714285,0.3696466004105891,0.008225139870774001,139.0482678413391,-0.29459420684725046,0.0021428571428571686
26,14,25.693857156053845,42.371918774574354,0.14285714285714285,0.3717894575534463,0.004678533237893134,157.71478486061096,-0.39668818563222885,0.0021428571428571686
27,16,22.05913580206621,41.08296555972961,0.375,0.38553945755344626,0.02949363546213135,167.4557957649231,-0.3944527115672827,0.013749999999999984
28,13,26.184067644415283,46.953348602649235,0.15384615384615385,0.388231765245754,0.003587285347748548,175.26004791259766,-0.26927558379247785,0.002692307692307716
29,16,23.367837028312728,37.83389094708839,0.25,0.395731765245754,0.04140662809368223,128.3857340812683,-0.341652549803257,0.007500000000000007
30,17,21.200285380139395,27.858916215890346,0.47058823529411764,0.4142611770104599,0.09267271624412388,153.1260805130005,-0.45696845557540655,0.018529411764705905
31,38,10.666540475961034,15.07594009951618,1.0,0.4592611770104599,0.07531397527782246,105.7410306930542,-0.5086041232571006,0.044999999999999984
32,57,7.593620299643398,9.641699964787167,1.0,0.5042611770104599,0.015095877344720066,63.820640087127686,-0.6336206942796707,0.04500000000000004
33,65,6.5470033854240395,8.058306166824124,1.0,0.54926117701046,0.010521683725528419,18.372035682201385,-0.6462132260203362,0.04500000000000004
34,62,6.881398943695016,8.67966168250974,1.0,0.59426117701046,-0.002200255577918142,11.438165962696075,-0.6751479506492615,0.04500000000000004
35,62,7.034316230601651,8.274423837019755,1.0,0.63926117701046,-0.001612997381016612,11.706238344311714,-0.6174794007092714,0.04500000000000004
36,49,9.006177383862953,9.479106165813313,1.0,0.6842611770104601,-0.00269980396842584,10.505231514573097,-0.6357199065387249,0.04500000000000004
37,58,7.532347590893117,8.885275645899242,1.0,0.7292611770104601,0.005054570268839598,12.083675891160965,-0.6364303100854158,0.04500000000000004
38,61,7.048976662150648,8.722941828346569,1.0,0.7742611770104602,0.008515468973200768,11.658992141485214,-0.5652101282030344,0.04500000000000004
39,54,8.082387721275506,9.241907516699895,1.0,0.8192611770104602,0.0030325406696647406,10.493972480297089,-0.5737337041646242,0.04500000000000004
40,57,7.603030093248673,8.950434301745622,1.0,0.8642611770104602,-0.003768572583794594,11.666747093200684,-0.5912924092262983,0.04500000000000004
41,62,6.926810928823196,8.131965414188052,1.0,0.9092611770104603,-0.0003946525976061821,10.167716145515442,-0.5893223527818918,0.04500000000000004
42,54,8.108413591316163,9.143831952538047,1.0,0.9542611770104603,0.0008948893519118428,10.77068081498146,-0.599612332880497,0.04500000000000004
43,62,6.865190153426528,8.333839760048953,1.0,0.9992611770104604,-0.006541489157825708,7.539059802889824,-0.6053942665457726,0.04500000000000004
44,56,7.64264724892548,8.901466401354769,1.0,1.0442611770104604,0.0031495828297920525,8.705682396888733,-0.6018860097974539,0.04500000000000004
45,56,7.708914276393557,8.615729311465062,1.0,1.0892611770104603,-0.0022607131104450673,8.100899383425713,-0.6000267174094915,0.04499999999999993
46,56,7.773160284516375,8.746316997502012,1.0,1.1342611770104603,-0.0006649723509326577,8.128762036561966,-0.6209335010498762,0.04499999999999993
