rollout_idx,n_steps,completed_episodes,collision_episodes,collision_rate,mean_ep_ret,mean_ep_shaped,mean_abs_reward_adv,mean_abs_cost_adv,mean_abs_lambda_cost_adv,std_reward_adv,std_cost_adv,std_combined_adv_pre_norm
1,512,14,4,0.2857142857142857,27.00244629745688,27.00244629745688,7.572912216186523,0.10811689496040344,0.18941116333007812,3.158703565597534,0.15729404985904694,3.312107801437378
2,512,16,7,0.4375,22.98198513703207,22.98198513703207,7.246362686157227,0.13192573189735413,0.23112212121486664,3.3492352962493896,0.186130553483963,3.5294394493103027
3,512,15,6,0.4,24.077002447716733,24.077002447716733,7.073025226593018,0.1158127710223198,0.20289364457130432,3.2053096294403076,0.1681559532880783,3.397202730178833
4,512,13,3,0.23076923076923078,27.196164142515713,27.196164142515713,7.3822784423828125,0.09272027015686035,0.16243763267993927,3.0565898418426514,0.13763271272182465,3.1972150802612305
5,512,14,8,0.5714285714285714,26.3609584334023,26.3609584334023,7.368453025817871,0.1221197098493576,0.21394285559654236,3.3497002124786377,0.1628854125738144,3.526040554046631
6,512,12,0,0.0,29.700965705258024,29.700965705258024,7.914748191833496,0.06141611933708191,0.10759556293487549,3.0205695629119873,0.06489007920026779,3.057387113571167
7,512,15,4,0.26666666666666666,24.442194278090064,24.442194278090064,7.260627269744873,0.10427344590425491,0.18267777562141418,3.2077505588531494,0.15839047729969025,3.3557915687561035
8,512,14,3,0.21428571428571427,26.220296778501258,26.220296778501258,7.407932758331299,0.0930507630109787,0.16301663219928741,3.1125612258911133,0.13883066177368164,3.2309956550598145
9,512,16,6,0.375,24.25131615105692,24.25131615105692,7.458251953125,0.12076932936906815,0.21157710254192352,3.3561692237854004,0.18796925246715546,3.5608813762664795
10,512,14,4,0.2857142857142857,25.822803404322677,25.822803404322677,7.249503135681152,0.10413531959056854,0.1824358105659485,3.11108660697937,0.15121757984161377,3.2407093048095703
11,512,15,5,0.3333333333333333,24.456434991135264,24.456434991135264,7.109137535095215,0.10456812381744385,0.18319401144981384,3.125732660293579,0.1571214646100998,3.300319194793701
12,512,12,0,0.0,30.215732442714472,30.215732442714472,8.044620513916016,0.05726250261068344,0.1003188043832779,3.087947368621826,0.0627041608095169,3.110302448272705
13,512,13,1,0.07692307692307693,27.61720894939517,27.61720894939517,7.542874336242676,0.08182138204574585,0.14334377646446228,3.0839200019836426,0.10807748138904572,3.159914016723633
14,512,14,4,0.2857142857142857,27.57699393878644,27.57699393878644,7.865161895751953,0.09386829286813736,0.16444888710975647,3.2445290088653564,0.14973999559879303,3.3723607063293457
15,512,15,5,0.3333333333333333,24.829005803262188,24.829005803262188,7.300907135009766,0.12186405807733536,0.2134949415922165,3.190916061401367,0.1822005808353424,3.365177869796753
16,512,16,7,0.4375,22.011342409354455,22.011342409354455,7.2611284255981445,0.12208636850118637,0.21388442814350128,3.352426767349243,0.18091653287410736,3.541965961456299
17,512,13,3,0.23076923076923078,27.37146882287592,27.37146882287592,7.4839372634887695,0.1063859760761261,0.18637874722480774,3.0744106769561768,0.16321241855621338,3.2090749740600586
18,512,16,5,0.3125,21.583314318097823,21.583314318097823,7.377786636352539,0.08551748096942902,0.1498190015554428,3.256882905960083,0.13617825508117676,3.3771209716796875
19,512,13,3,0.23076923076923078,27.75902437295427,27.75902437295427,7.48232364654541,0.09272594004869461,0.16244757175445557,3.129742383956909,0.13913266360759735,3.2504849433898926
20,512,14,4,0.2857142857142857,25.551082708494842,25.551082708494842,7.504476547241211,0.09795921295881271,0.1716158092021942,3.159834623336792,0.14996649324893951,3.293524742126465
21,512,16,7,0.4375,22.444462518903865,22.444462518903865,7.269591331481934,0.11073184013366699,0.19399230182170868,3.336893081665039,0.17712636291980743,3.5179009437561035
22,512,17,7,0.4117647058823529,21.483431301716344,21.483431301716344,7.185051918029785,0.10955045372247696,0.1919226199388504,3.311316728591919,0.1718791127204895,3.4869182109832764
23,512,13,3,0.23076923076923078,28.1612936219628,28.1612936219628,7.551515579223633,0.08413145691156387,0.14739081263542175,3.150052547454834,0.13372333347797394,3.2622146606445312
24,512,17,9,0.5294117647058824,21.283927871070436,21.283927871070436,6.981799125671387,0.14101114869117737,0.24703897535800934,3.280393600463867,0.2027934342622757,3.505234956741333
25,512,16,7,0.4375,23.64461943557894,23.64461943557894,7.390467643737793,0.12296624481678009,0.21542587876319885,3.270432233810425,0.17914697527885437,3.4656519889831543
26,512,16,8,0.5,22.300365713508477,22.300365713508477,7.107848167419434,0.13778531551361084,0.24138759076595306,3.3147175312042236,0.18938426673412323,3.514772891998291
27,512,15,7,0.4666666666666667,23.042248883805268,23.042248883805268,7.238378524780273,0.13096751272678375,0.22944340109825134,3.2566442489624023,0.1955908238887787,3.4718639850616455
28,512,15,4,0.26666666666666666,25.140119185918696,25.140119185918696,7.517472267150879,0.09633627533912659,0.16877254843711853,3.301814079284668,0.1493382751941681,3.434394121170044
29,512,16,7,0.4375,22.223643792342013,22.223643792342013,7.055405139923096,0.13502179086208344,0.236546128988266,3.2818191051483154,0.19498831033706665,3.485215902328491
30,512,15,5,0.3333333333333333,24.91232034442377,24.91232034442377,7.506328105926514,0.1067904457449913,0.18708732724189758,3.381004571914673,0.1704205572605133,3.5355889797210693
